Id,SalePrice
1461,121048.13955246666
1462,155081.42056340002
1463,179428.65487270895
1464,199848.25364002038
1465,194428.00535326172
1466,169444.08425253717
1467,172416.33798946638
1468,166060.57956676156
1469,189584.0133226713
1470,123360.9145431655
1471,181068.69965807346
1472,97138.94187132647
1473,95217.97084699356
1474,146253.18121410045
1475,117926.34832283601
1476,371451.4593142313
1477,255925.3866295848
1478,314569.0391465236
1479,319044.6682924441
1480,486865.7468988999
1481,335302.25118839584
1482,225371.27258013067
1483,169517.20259142196
1484,173342.09965519852
1485,191421.01042817577
1486,191141.42732215917
1487,327800.9939958713
1488,231380.81290489587
1489,196780.54700332345
1490,222054.60929630365
1491,194438.404435682
1492,87174.48457402873
1493,191142.37897528452
1494,277883.8548676518
1495,280621.99664831255
1496,236213.66628193978
1497,172651.56304950736
1498,172527.95606833138
1499,164824.9051224083
1500,157491.22136954276
1501,171215.6120250108
1502,153453.8798384042
1503,275325.8069418587
1504,239489.2186278847
1505,224620.38270428128
1506,183936.67168189626
1507,230725.5184364799
1508,196498.65849386202
1509,169628.60501376318
1510,143596.0060834317
1511,141400.38864965556
1512,159651.16297717078
1513,152296.53334121517
1514,135873.4434794774
1515,202269.88056302
1516,148403.4213982595
1517,159186.90898864547
1518,129141.68786917985
1519,204120.77375200123
1520,131754.48832173314
1521,132864.35266391866
1522,169512.32165919413
1523,113484.98581122924
1524,123162.78308215458
1525,121827.15121530519
1526,113005.47213660114
1527,103426.92259902376
1528,131453.9488653789
1529,155964.20203728095
1530,183756.26367415383
1531,112703.23101724242
1532,93632.2313342833
1533,139454.82801310252
1534,121491.137200876
1535,151508.2967491481
1536,110103.94479483979
1537,71284.68076216678
1538,138103.62377526792
1539,185847.23357977555
1540,86389.76772375448
1541,152639.55291921942
1542,138190.75546027295
1543,203500.3815646204
1544,79426.43589226215
1545,110034.07049001672
1546,142828.57977138253
1547,138761.5572128355
1548,133635.29497823492
1549,120163.8737183823
1550,141939.95871371662
1551,99138.29440282239
1552,139865.5698451417
1553,139950.74936187116
1554,118750.64277594777
1555,162850.90210064786
1556,90241.0817641867
1557,96544.43259083334
1558,99095.82189842762
1559,90573.28319800529
1560,140726.4685719958
1561,115117.70264562275
1562,135395.66839134868
1563,120363.1470420958
1564,156152.1213085542
1565,152430.29350994353
1566,240914.4925199605
1567,79028.44899203099
1568,225173.16339700593
1569,125122.85292071175
1570,146361.460820593
1571,114847.84859188492
1572,135808.68600244194
1573,240312.5019765598
1574,115901.08668515863
1575,219070.1286377957
1576,246965.51979920483
1577,199366.48006829206
1578,141787.9773189826
1579,136557.86794971116
1580,199715.86206579773
1581,150367.59275124082
1582,132532.3546039891
1583,293440.65748889605
1584,217283.13569386245
1585,139279.90196864953
1586,70152.00910064724
1587,102103.85862593503
1588,146384.29790328082
1589,93734.97963466479
1590,134291.27300219738
1591,94478.33418419128
1592,112426.25320523253
1593,121971.34789336365
1594,145869.78127745911
1595,122181.10607521527
1596,234340.81484576047
1597,197985.30413783062
1598,215620.66632608772
1599,171575.10477782425
1600,169592.0570344646
1601,71064.49429292926
1602,109176.36882807562
1603,76574.68966353039
1604,263724.24864283943
1605,245013.58479011292
1606,168897.67997341603
1607,170307.95348516846
1608,222225.53401974431
1609,188294.73370940657
1610,154465.69935712445
1611,139796.93448376766
1612,174740.45952393764
1613,162837.2687963754
1614,118784.12811054965
1615,89125.938505409
1616,79076.90545719679
1617,91458.10690372504
1618,131977.4388560872
1619,141223.2005486505
1620,195880.10778267472
1621,135628.82112933922
1622,140818.28266038312
1623,272452.01999255945
1624,198353.46822724378
1625,117194.43008618687
1626,164110.25611498824
1627,188844.96538289962
1628,291255.3642908764
1629,191977.68418175593
1630,341283.1194445659
1631,220201.34380917528
1632,239759.03822071236
1633,183280.132702359
1634,186069.33318622765
1635,179619.58303820094
1636,158433.05972813664
1637,187093.23573949846
1638,185337.15593452918
1639,186696.94927576813
1640,250147.85507899185
1641,182440.91567281442
1642,245417.25921320828
1643,224866.4051203641
1644,242121.55022414005
1645,199809.69680455036
1646,164765.02598927994
1647,161836.3283260906
1648,134426.56552731225
1649,140669.86909884028
1650,113251.23707070327
1651,127579.3288078956
1652,97155.98036792605
1653,101891.45138547436
1654,147051.46284409345
1655,146238.99937450717
1656,143425.6930454846
1657,149036.15286479134
1658,149680.07591602064
1659,124775.5744048368
1660,159367.5902823467
1661,448532.7728825273
1662,398700.4411029973
1663,368090.4458535287
1664,479578.1624726313
1665,305559.19131598796
1666,319441.9056048321
1667,381292.9064873238
1668,344027.37773184426
1669,309696.35349397495
1670,338114.4013092865
1671,244197.65265007585
1672,411961.4056939882
1673,300828.27286078595
1674,241633.9220397221
1675,196938.07039665588
1676,190248.35547385353
1677,217038.89070012615
1678,457444.39827566675
1679,385599.11993502465
1680,344919.3233860884
1681,251008.44377713406
1682,311090.63390462287
1683,189524.68930470472
1684,178711.92474315583
1685,174764.11366789223
1686,180114.01257735913
1687,174371.9343201131
1688,187999.81228292047
1689,191440.3783972466
1690,195437.3004933743
1691,188074.96587930495
1692,267376.970994457
1693,185949.26671408874
1694,186219.18436974796
1695,173126.28738634143
1696,264548.8503661101
1697,179218.9982585478
1698,344499.1115425105
1699,313175.39161494735
1700,243880.1232052257
1701,262265.43970092793
1702,249670.11308682332
1703,255494.5745422547
